@relation on_device

@attribute time real
@attribute day_of_week {0.0,1.0,2.0,3.0,4.0,5.0,6.0}
@attribute class {8_0, 11_0}

@data
33530.0,2.0,8_0
33530.0,4.0,8_0
33530.0,5.0,8_0
33530.0,6.0,8_0
33530.0,0.0,8_0
33530.0,1.0,8_0
33530.0,2.0,8_0
33530.0,3.0,8_0
33530.0,4.0,8_0
33530.0,5.0,8_0
33530.0,6.0,8_0
33530.0,1.0,8_0
33530.0,2.0,8_0
33530.0,3.0,8_0
33651.0,4.0,8_0
34003.0,5.0,8_0
33840.0,2.0,11_0
33840.0,4.0,11_0
33840.0,5.0,11_0
33840.0,6.0,11_0
33840.0,0.0,11_0
33840.0,1.0,11_0
33840.0,2.0,11_0
33840.0,3.0,11_0
33840.0,4.0,11_0
33840.0,5.0,11_0
33840.0,6.0,11_0
33840.0,1.0,11_0
33840.0,2.0,11_0
33840.0,3.0,11_0
33894.0,4.0,11_0
34401.0,5.0,11_0
